Tamanho do Array,Amostra,Tempo de Execucao (ms)
100,1,0
100,2,0
100,3,0
100,4,0
100,5,0
10000,1,9
10000,2,7
10000,3,4
10000,4,4
10000,5,5
100000,1,482
100000,2,491
100000,3,471
100000,4,473
100000,5,474
