Tamanho do Array,Amostra,Tempo de Execucao (ms)
100,1,0
100,2,0
100,3,1
100,4,0
100,5,0
10000,1,2
10000,2,2
10000,3,1
10000,4,1
10000,5,1
100000,1,14
100000,2,17
100000,3,11
100000,4,12
100000,5,12
